,Description,Difficulty,Image,Ingredients,Method,Preparation time,Serves,Title
0,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMTFhODQwNmMtNGI3My00MTg1LTljN2YtZWRlN2NjMDRmMmY3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['Olive oil', 'Juice of 4 lemons', '1 heaping tablespoon Dijon mustard', '2 tablespoons honey', 'A dash of salt', '4 whole chicken breasts']}","<div class=""recipe-text"">
<p>1. Mix together some olive oil, lemon juice, Dijon, honey and a dash of salt. Pound the chicken breasts until they are uniform thickness, then marinate them for about 24 hours in the fridge.</p>
<p>2. Grill them up ... they should take 8 to 10 minutes or until golden brown and cooked all the way through ... turn them halfway through so they cook evenly on both sides, then set them aside and keep them warm.</p>
</div>",15 mins,4,Grilled Chicken Breasts
1,N/A,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNDAwNzgwYjEtZTUxNS00YmRkLTgzZDMtODUxYzFkNWRjMTBlLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['Pre-cooked pork neck', '2 pickled cucumbers', 'Mayonnaise', 'Chilli', 'Cream cheese', 'Smooth cottage cheese', '2 slices of bread']}","<div class=""recipe-text"">
<p>1. Pre-heat the heat griddle/sandwich toaster.</p>
<p>2. Shred cooked pork and set aside.</p>
<p>3. Put a tablespoon of mayo into bowl. Chop and add chilli to mayo.</p>
<p>4. Add a tablespoon each of cream cheese and cottage cheese to mayo, and mix.</p>
<p>5. Spread onto bread and top with shredded pork.</p>
<p>6. Slice pickled cucumber and place on pork.</p>
<p>7. Assemble sandwich. Toast and serve.</p>
</div>",N/A,2,Pulled Pork Sandwich
2,Pair succulent salmon with salty halloumi for a sensational burger.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYTAxMTMzYjktOTlkZC00NGNhLTg3YzMtNmZlMjMwYTVmYjRkLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['Vegetable oil, for greasing', '1 (416g) or 2 (213g) tins red or pink wild Alaska salmon', '500g carrots, grated', '1 small onion, finely chopped', '100g fresh breadcrumbs', '1 large egg, beaten', '150g  Halloumi cheese, crumbled or finely chopped', '50g mature Cheddar cheese, grated', '1 tbsp fresh coriander, chopped', 'Salt and freshly ground black pepper', 'Burger buns, salad and tomato ketchup, to serve']}","<div class=""recipe-text"">
                            1) Preheat the oven to 200C/Gas 6. Grease a large baking sheet with a little vegetable oil.<p>
2) Drain the canned salmon, discarding the liquid. Remove any skin and bones, if wished, then break the salmon into small chunks.<p>
3) Put the carrots into a large mixing bowl and add the onion, breadcrumbs, egg, cheeses and coriander. Season, remembering that cheese is quite salty, so you only need a little salt. Stir in the chunks of salmon.<p>
4) Form the mixture into 6 burgers and arrange on the prepared baking sheet. Bake for about 20–25 minutes, until golden brown. Serve in burger buns with salad and tomato ketchup on the side.<p>
Cook's tip: For a lighter option, wrap and serve the burgers in crisp lettuce leaves or Chinese leaves instead of serving them in burger buns.<p>
</p></p></p></p></p></div>",20 mins,6,"Wild Alaska salmon, carrot and halloumi burgers"
3,N/A,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYzFhMDlkYzAtYzZhOS00YzRlLWE4NjAtZDlhNjFiNmQxMWJkLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the aubergine': ['1 aubergine', 'Salt', '2 eggs, beaten with 1 tsp water', '150g plain breadcrumbs', 'Freshly ground black pepper', '2 tbsp dried oregano', '2 tbsp dried parsley leaves', '100g grated Parmesan', '2 tbsp garlic powder', 'Olive oil, for frying', '15 go 30g butter, depending on taste']}","<div class=""recipe-text"">
                            1) Peel and slice the aubergine and salt it in a colander. Cover with kitchen paper and a tea kettle that is full and heavy. Leave to stand for about 1 hour until moisture is released. This first step is very important to remove any bitterness. <p>
2) Place the beaten egg in a shallow dish. Mix the breadcrumbs with the salt, pepper, oregano, parsley, Parmesan and garlic powder and place in a second shallow dish. <p>
3) Batter the aubergine by dipping first in beaten eggs, then in the seasoned breadcrumbs. (If you need to use store-bought seasoned bread crumbs omit the salt and pepper.)<p>
4) In a deep sided frying pan heat the olive oil to 180C. Add a little butter (for flavour) and fry the aubergine in batches until golden brown. Drain on kitchen paper and set aside.<p>
5) To make the vinaigrette, mix the red wine vinegar, olive oil, peppadews, sugar, oregano and garlic. Season with salt and pepper, to taste.<p>
6) Spoon 2 tbsp of the vinaigrette into the bottom of a large bowl. Layer the aubergine slices with the chopped mint, parsley, and the vinaigrette. Top with more of the vinaigrette and marinate, covered, in the refrigerator for at least 1 hour. (You can also add more minced garlic and grated Parmesan to the layers.)<p>
7) Boil the lasagne noodles with a little oil, so that they do not stick, and some salt, to impart some flavour.<p>
8) In a beautiful serving dish layer the marinated aubergine and the noodles, then sprinkle with some fresh mozzarella, then the basil and finally drizzle with the vinaigrette. <p>
9) Repeat until all the layers are formed, making sure that the pasta is not the last layer. Garnish with cherry tomatoes. Season with salt and pepper, to taste. Serve at room temperature for the best summer lasagne. Manga!!!
                        </p></p></p></p></p></p></p></p></div>",30 mins,4,Summer aubergine lasagne
4,This crustless cheesecake with soft sweet berries is the perfect summer pud.,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMzZjMDk3ODYtZTc1Yi00YTJhLTlmNTgtN2FjNDBlMDcxZjM4LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the cheesecake': ['450g cream cheese, at room temperature', '240g icing sugar, sifted', 'Zest of 1 lime (about 1 tsp)', 'Juice of 2 limes (about 80ml)', '1 tbsp vanilla pod paste or vanilla extract', '590ml double cream'], 'For the berries': ['250g fresh blueberries', '80ml water', '2 tbsp caster sugar', '125g halved or sliced fresh strawberries']}","<div class=""recipe-text"">
<p>For the cheesecake: </p>
<p>Line a medium (about 23-cm wide) sieve, fine strainer or colander with a double layer of damp cheesecloth and set over a bowl.</p>
<p>Beat the cream cheese in a large bowl with a hand-held mixer on medium speed until smooth. Add the sugar, lime zest and juice and vanilla. Beat until light and fluffy, scraping the sides of the bowl and beaters as needed. </p>
<p>In another bowl, beat the cream until it holds a stiff peak. Stir about 1/3 of the whipped cream into the cream cheese mixture to lighten the cream cheese. Gradually fold in the remaining whipped cream to make a light mousse. Transfer the mixture into the lined sieve, fold the cheesecloth over the top and press gently. Cover and refrigerate to drain for at least 4 hours or up to 3 days. </p>
<p>To serve: </p>
<p>Just before serving, cook about half the blueberries in a small skillet with the water and sugar, over a medium heat, until the berries get juicy, about 8 minutes. Toss all the berries together in a large bowl, along with a squeeze of fresh lime juice. </p>
<p>Unwrap the cheesecake and invert onto a platter. (Discard the cheesecloth.) Use a large ladle or spoon to press a well in the centre of the cake. Spoon the berries into the well and drizzle the juices over the top or serve on the side. Serve a scoop of summer cheesecake with some of the fresh berries. </p>
<p>Copyright (c) 2007 Television Food Network, G.P., All Rights Reserved.</p>
</div>",15 mins,8,Fresh Cream Cheesecake with Summer Berries
5,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNjJkMzIyMWEtYTM3Mi00MmI5LTk0MzctNWE2ZWJjOTE4NTIzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'For the Salad': ['1 package ramen noodles, crushed, flavor packet discarded', '1/4 cup sliced almonds', '1/4 cup sunflower seeds', '1/4 cup (1/2 stick) butter, melted', '1 head romaine lettuce, washed and dried', 'One 5-ounce bag baby spinach', '1 pint strawberries, hulled and thinly sliced', '1 cup grated Parmesan'], 'For the Dressing': ['3/4 cup sugar']}","<div class=""recipe-text"">
<p>1. Preheat the oven to 200°C. In a small bowl, mix the ramen noodles, almonds, sunflower seeds and melted butter. Transfer to a baking sheet and toast in the oven, stirring occasionally, until browned, about 10 minutes. Remove from the oven and set aside to cool.</p>
<p>2. Tear the lettuce and combine with the spinach, strawberries and cheese in a large salad bowl.</p>
<p>3. For the dressing, dissolve the sugar in the vinegar. Combine the oil, paprika, salt and garlic and then add to the sugar-vinegar mixture. Mix well and store in the refrigerator until ready to serve.</p>
<p>4. Just before serving, sprinkle the crunchy topping over the salad green and toss the salad with enough dressing to coat the greens.</p>
<p class=""copyright""><em>Recipe adapted from Home Cooking with Trisha Yearwood (c) Clarkson Potter 2010</em></p>
</div>",15 mins,6,Strawberry Salad
6,"Enjoy a mouth-wateringly good steak in this vibrant, crunchy salad.",Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtM2YzYTg2YmUtNzMxZS00ZTBkLTg1NWQtMzAzY2Q0MzU4YTgwLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the steak': ['500g sirloin or rump steak', '3 teaspoons ground cumin', 'Salt', 'Ground white pepper', 'Olive oil'], 'For the aubergines': ['4 medium sized aubergines', 'Salt', '15ml olive oil', '4 garlic cloves, crushed', '1 teaspoon cumin', '1 teaspoon paprika']}","<div class=""recipe-text"">
<p>For the steak, place a teaspoon of olive oil in a non-stick frying pan, swirl to coat and heat over a medium to high heat. Oil the steak and season with salt, pepper and cumin. Fry the steak the way you like it. Rest the meat for 10 minutes before slicing.</p><p>For the aubergines, cut them into chunky blocks, salt and sweat them for 20 minutes, rinse and pat dry.</p><p>Heat the olive oil in a non-stick frying pan and add the aubergine and gently fry until almost tender, then add the garlic and spices and cook stirring for a few minutes.</p><p>Stir in the herbs and drizzle with a  little Argan oil, remove from the heat. For the salad, mix all the ingredients together and keep chilled till you need it. Arrange the salad mixture on top of a platter and scatter over the aubergine. Add a few slices of steak and toss gently. Arrange the remaining sliced steak onto the salad and squeeze over some fresh lemon juice and a really good drizzle of Argan oil.</p>
</div>",45 mins,4,Seared Steak Salad
7,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtN2Q2NmM2NDMtYTk0Mi00N2JiLWJmN2MtYTU5ZjljNDczYzNmLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the infused gin': ['500ml gin', '2 tbsp loose leaf earl grey tea', '225g sugar'], 'For the flip': ['2 tsp egg white powder', '2 tbsp warm water', 'Ice', '20ml fresh lemon juice', '25g simple syrup, recipe follows', '0.75 tsp maraschino syrup', '1 lemon twist'], 'For the simple syrup': []}","<div class=""recipe-text"">
                            For the infused gin:<br/>
1) Put the gin and earl grey tea in a non-reactive container; stir to combine. Cover and set aside to steep for 1 hour.<p>
2) Strain without pressing down the leaves. The infused gin will keep, covered, for up to 3 weeks.<p>
For the flip:<br/>
1) Whisk the egg white powder and warm water in a small bowl until smooth and frothy.<p>
2) Fill a cocktail shaker two-thirds full of ice and add 45ml of the infused gin, the lemon juice, simple syrup and the egg white mixture. Cover and shake vigorously until thoroughly mixed and chilled, about 30 seconds (in general, the drink is ready by the time the shaker mists up).<p>
3) Fill the bottom of a martini glass with maraschino syrup. Strain the cocktail into the glass to float on top of syrup. Drop in the lemon twist. Serve.<p>For the simple syrup:<br/>
1) Put the sugar and water in a small saucepan. Cook over low heat, stirring, until the sugar dissolves. (Alternatively, heat in the microwave.) <p>
2) Allow to cool to room temperature and store in a sealed container in the refrigerator for up to a month. <p>

Serving suggestion: Chilled cocktail glass
                        </p></p></p></p></p></p></p></div>",5 mins,2,Tea time flip
8,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMGIxMWVkZjItYzA4YS00MDE3LTljODQtZDEzMjRiMmE5ZWM3LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1 bottle of pink champagne or normal champagne with a splash of cassis', '500g caster sugar', '9 leaves of gelatine', 'Seeds of 3 pomegranates']}","<div class=""recipe-text"">
<p>Warm the champagne with the sugar and bring to near boiling. Add the softened gelatine, take off the heat and stir to dissolve.</p>
<p>Pour about an inch into champagne flutes, and set in the fridge (takes around 20 minutes). Then add a layer of pomegranate seeds and a teaspoon of the cold jelly mix to set them in place. Chill again.</p>
<p>Add another inch of jelly, set and repeat with pomegranate seeds again so you end up with rings of pomegranate seeds throughout the jelly all the way to the top of the glass.</p>
<p><em>Recipe courtesy of Matt Tebbutt.</em></p>
</div>",20 mins,8,Champagne and Pomegranate Jelly
9,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMjM1Yjg4NWYtYjQ2Ny00OTA2LWE1ZWYtMTFmYTg3YjcwOTVlLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['24 raw tiger prawns, shells on', '3 cloves garlic, peeled and crushed', '1 teaspoon chilli flakes', '1 tablespoon olive oil', 'Sea salt and black pepper'], 'For the salsa': ['4 ripe tomatoes', '2 red chillies', '4 spring onions', '1 clove garlic, peeled and crushed', '1 teaspoon chipotle paste', 'Juice of 1 to 2 limes']}","<div class=""recipe-text"">
<p>oss the prawns with the garlic, chilli flakes and oil, cover with clingfilm and refrigerate for 1 to 2 hours, or overnight if possible. Meanwhile, make the salsa. Preheat the barbecue to a high heat, lay the tomatoes, chillies and spring onions on the grill and cook for 3 to 4 minutes until charred and starting to soften.</p><p>Remove from the grill and transfer to a chopping board. Roughly chop everything together then tip into a liquidiser and add the remaining ingredients. Pulse to a rough purée then season to taste and set aside. Meanwhile remove the prawns from the fridge and bring to room temperature. Lay the prawns on the grill and cook for 1 to 2 minutes on each side until pink. Transfer to a platter and serve with the salsa and lime wedges.</p>
</div>",N/A,4,BBQ Prawns with Roast Chilli Salsa
